职位名称,公司名称,工作地点,薪资,工作经验,学历要求,所属领域,公司状态,公司规模,发布人
Java,优酷土豆,北京 朝阳区 望京,30-50K,3-5年,本科,互联网,不需要融资,1000-9999人,李先生/无
Java,汇智共创,北京  ,8-16K,3-5年,本科,计算机软件,未融资,100-499人,韩先生/无
资深Java工程师,Boss直聘,北京 朝阳区 太阳宫,9-10K,3-5年,硕士,人力资源服务,D轮及以上,1000-9999人,张先生/无
Java,天云大数据,北京 朝阳区 百子湾,10-20K,3-5年,本科,互联网金融,B轮,100-499人,谭先生/无
Java,会通教育,北京 海淀区 蓟门桥,15-30K,3-5年,本科,互联网,A轮,100-499人,刘女士/无
Java,北明软件,北京 西城区 宣武门,15-25K,5-10年,本科,互联网,已上市,1000-9999人,张先生/无
JAVA专家讲师,慧科集团,北京 海淀区 知春路,30-50K,5-10年,大专,在线教育,D轮及以上,500-999人,王女士/无
Java,文思海辉,北京 昌平区 沙河,10-15K,3-5年,本科,计算机软件,已上市,10000人以上,谢先生/无
高级java,Boss直聘,北京 朝阳区 太阳宫,20-40K,3-5年,本科,人力资源服务,D轮及以上,1000-9999人,杨女士/无
Java高级工程师,中煤电气,北京 顺义区 仁和,15-30K,5-10年,本科,其他行业,不需要融资,100-499人,潘先生/无
Java,翔创科技,北京  ,10-20K,5-10年,本科,计算机软件,A轮,20-99人,来女士/无
Java架构师,饿了么,北京 朝阳区 望京,30-50K,5-10年,本科,O2O,不需要融资,10000人以上,梁先生/无
JAVA  (UDS),NIO蔚来,北京 朝阳区 望京,20-40K,3-5年,本科,汽车生产,已上市,1000-9999人,胡女士/无
Java,中信银行,北京 朝阳区 十里堡,25-40K,3-5年,本科,银行,已上市,1000-9999人,武女士/无
Java,风扬天顺,北京 海淀区 西二旗,8-13K,3-5年,本科,互联网,不需要融资,20-99人,高女士/人事
高级Java工程师,分享动力,北京 海淀区 中关村,40-70K,5-10年,本科,互联网,不需要融资,20-99人,王女士/人事
java专家,阿里云,北京 朝阳区 望京,30-60K,5-10年,本科,互联网,已上市,1000-9999人,唐先生/人事
Java,医渡云,北京 海淀区 牡丹园,20-35K,3-5年,本科,互联网,C轮,500-999人,伞先生/人事
Java,险峰长青,北京  ,20-35K,3-5年,本科,移动互联网,不需要融资,20-99人,洲先生/人事
Java开发,法本,北京 朝阳区 来广营,13-18K,3-5年,本科,计算机软件,已上市,1000-9999人,欧女士/人事
Java架构师,松鼠拼拼,北京 东城区 北新桥,30-60K,5-10年,本科,移动互联网,B轮,1000-9999人,杨先生/人事
Java,易思优,北京 朝阳区 望京,10-11K,1-3年,本科,计算机软件,20-99人,无,李女士/人事
Java,君凯电子科技有限公司,北京 朝阳区 望京,13-16K,3-5年,大专,互联网,未融资,100-499人,任先生/人事
Java,软通动力,北京 顺义区 马坡,10-17K,3-5年,本科,计算机软件,已上市,10000人以上,马女士/人事
JAVA架构师,Boss直聘,北京 朝阳区 太阳宫,30-50K,5-10年,本科,人力资源服务,D轮及以上,1000-9999人,孟女士/人事
java技术专家,用友网络科技,北京 海淀区 西北旺,25-45K·14薪,5-10年,本科,互联网,已上市,10000人以上,梁女士/人事
java后端,快手,北京 海淀区 西二旗,28-55K·16薪,3-5年,本科,社交网络,D轮及以上,1000-9999人,刘先生/人事
Java,中科金审,北京 海淀区 北下关,15-25K·13薪,5-10年,本科,数据服务,B轮,100-499人,陈女士/人事
java开发,绛门科技,北京 西城区 金融街,10-20K,3-5年,本科,计算机软件,已上市,500-999人,韩女士/人事
java工程师,东华博雅,北京 东城区 东四,11-17K,3-5年,本科,计算机软件,不需要融资,1000-9999人,潘女士/人事
Java,达达-京东到家,北京 大兴区 亦庄,25-35K,5-10年,大专,O2O,D轮及以上,1000-9999人,黄先生/人事
Java架构师,好未来,北京 海淀区 知春路,30-60K,5-10年,本科,互联网,已上市,10000人以上,纪先生/人事
Java,北京玄卓,北京 海淀区 苏州街,13-17K,3-5年,本科,通信/网络设备,未融资,20-99人,赵女士/人事
JAVA架构师,BOE,北京 大兴区 亦庄,14-28K,5-10年,本科,计算机软件,已上市,10000人以上,余女士/人事
java架构师,BOE,北京 大兴区 亦庄,25-40K,5-10年,本科,计算机软件,已上市,10000人以上,招聘经理/人事
java工程师,三一集团,北京 昌平区 回龙观,20-30K,3-5年,本科,其他行业,已上市,10000人以上,孙先生/人事
Java开发工程师,跟谁学,北京 海淀区 马连洼,15-25K,1-3年,本科,互联网,已上市,1000-9999人,李女士/人事
Java助教,云科未来,北京 海淀区 上地,8-12K,1-3年,本科,在线教育,不需要融资,100-499人,王女士/人事
JAVA软件工程师,安硕信息,北京 东城区 东四,7-12K,1-3年,本科,计算机软件,已上市,1000-9999人,窦女士/人事
Java,中科软,北京 朝阳区 双井,5-10K,经验不限,本科,计算机软件,已上市,10000人以上,陈女士/人事
Java初级,开科唯识,北京 朝阳区 十里堡,8-15K,3-5年,本科,计算机软件,未融资,500-999人,谭女士/人事
Java,翔赢,北京 朝阳区 大望路,14-15K,5-10年,本科,媒体,未融资,0-20人,孙女士/人事
Java,艾融软件,北京 海淀区 西三旗,15-18K,3-5年,本科,互联网,已上市,500-999人,刘女士/人事
Java,美摄SDK,北京 海淀区 田村,15-20K,3-5年,本科,互联网,A轮,20-99人,方女士/人事
高级java工程师,东软望海,北京 东城区 崇文门,15-30K,5-10年,本科,医疗健康,B轮,1000-9999人,于先生/HR
java后端工程师,快乐迭代,北京 朝阳区 望京,30-50K,3-5年,本科,互联网,A轮,20-99人,于女士/HR
Java,衣二三,北京 东城区 东单,20-30K,3-5年,本科,互联网,D轮及以上,500-999人,王先生/HR
Java技术专家,阿里巴巴集团,北京 朝阳区 呼家楼,25-50K,3-5年,本科,互联网,不需要融资,10000人以上,丁先生/HR
Java技术专家,美菜网,北京 朝阳区 安贞,40-70K,5-10年,本科,移动互联网,D轮及以上,10000人以上,袁女士/HR
高级Java开发工程师,思源互联科技,北京 朝阳区 望京,20-30K·13薪,5-10年,本科,移动互联网,不需要融资,1000-9999人,唐女士/HR
Java讲师,传智播客,北京 昌平区 北七家,25-50K,5-10年,本科,在线教育,不需要融资,1000-9999人,夏女士/HR
Java,思想天下,北京 怀柔区 杨宋,12-24K,5-10年,大专,在线教育,未融资,100-499人,王先生/HR
Java,上海雁展,北京 朝阳区 建国门,7-10K,3-5年,本科,互联网,A轮,20-99人,付先生/HR
JAVA,宇信科技,北京 西城区 南礼士路,12-17K,3-5年,本科,计算机软件,已上市,1000-9999人,史女士/HR
Java,京东集团,北京 大兴区 亦庄,20-35K,3-5年,本科,电子商务,已上市,10000人以上,冯先生/HR
java技术专家,阿里巴巴零售通,北京 朝阳区 望京,30-50K,经验不限,本科,互联网,不需要融资,10000人以上,钟先生/HR
Java高级开发工程师,亚信科技,北京 东城区 朝阳门,130-160/天,5天/周,6个月,计算机软件,已上市,10000人以上,张先生/HR
java软件工程师,天阳科技,北京 海淀区 西二旗,12-18K·13薪,5-10年,本科,计算机软件,已上市,1000-9999人,王女士/HR
Java中级工程师,艾融软件,北京 海淀区 西三旗,6-12K,1-3年,本科,互联网,已上市,500-999人,李先生/HR
Java资深工程师,滴滴,北京 海淀区 马连洼,20-40K,3-5年,本科,移动互联网,D轮及以上,1000-9999人,谢女士/HR
Java,高德地图,北京 朝阳区 望京,16-32K,经验不限,硕士,互联网,已上市,1000-9999人,占先生/HR
高级Java,云朵课堂,北京 朝阳区 小关,20-30K,5-10年,大专,互联网,B轮,100-499人,葛女士/HR
Java开发工程师,文思海辉·金融,北京 海淀区 马连洼,11-20K,3-5年,本科,计算机软件,不需要融资,10000人以上,朱女士/HR
Java,和融通支付,北京 海淀区 魏公村,12-20K,3-5年,本科,互联网,不需要融资,100-499人,郭先生/HR
Java工程师(爬虫方向),GEO集奥聚合,北京 朝阳区 双桥,15-20K,3-5年,本科,数据服务,C轮,100-499人,孙先生/HR
高级JAVA,博彦科技,北京 海淀区 马连洼,10-15K,5-10年,本科,计算机软件,已上市,1000-9999人,秦女士/HR
Java开发,柯莱特集团,北京 朝阳区 望京,10-15K,1-3年,本科,计算机软件,已上市,1000-9999人,朱女士/HR
高级Java工程师,搜知云,北京 朝阳区 高碑店,20-40K,5-10年,本科,移动互联网,不需要融资,20-99人,刘女士/HR
Java,网梯科技,北京 海淀区 西二旗,8-12K,1-3年,本科,计算机软件,不需要融资,100-499人,于女士/HR
Java,新流通,北京 大兴区 亦庄,15-20K,5-10年,本科,移动互联网,天使轮,100-499人,赵女士/HR
Java工程师,Boss直聘,北京 朝阳区 太阳宫,10-11K,5-10年,博士,人力资源服务,D轮及以上,1000-9999人,刘先生/HR
高级Java研发工程师,安一恒通,北京 海淀区 西北旺,15-30K,3-5年,本科,互联网金融,A轮,1000-9999人,冯女士/HR
JAVA工程师,新东方教育,北京 海淀区 中关村,12-18K,3-5年,本科,在线教育,已上市,10000人以上,徐女士/HR
资深Java,瓜子二手车直卖网,北京 朝阳区 酒仙桥,40-70K·15薪,5-10年,本科,分类信息,D轮及以上,10000人以上,张先生/HR
